id,record_id,sample_id,name,start_datetime,sample_datetime,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma,blink_strength,signal_noise
83,12,83,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:17.86593,44,67,1132219.0,48130.0,15308.0,6443.0,3795.0,2080.0,807.0,509.0,109,25
84,12,84,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:18.87593,44,67,38638.0,36107.0,36573.0,52254.0,26729.0,38628.0,12212.0,855.0,87,25
85,12,85,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:19.88593,44,67,2759522.0,647938.0,234234.0,865337.0,439061.0,581464.0,156103.0,69100.0,42,25
86,12,86,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:20.89593,57,75,194711.0,28384.0,24497.0,23256.0,20963.0,27370.0,16786.0,4928.0,42,0
87,12,87,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:21.90595,75,75,1100751.0,633364.0,325470.0,133902.0,356507.0,529863.0,86244.0,24098.0,88,0
88,12,88,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:22.91593,75,75,510275.0,224885.0,16131.0,17754.0,103086.0,57350.0,45103.0,18834.0,64,26
89,12,89,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:23.92593,75,75,328378.0,404999.0,10459.0,20686.0,50534.0,99678.0,85059.0,12926.0,97,26
90,12,90,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:24.93592,75,75,548746.0,161853.0,51496.0,38606.0,21924.0,25657.0,16072.0,15559.0,97,51
91,12,91,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:25.94593,75,75,2715157.0,2152377.0,293515.0,177958.0,153742.0,405653.0,168454.0,43204.0,97,51
92,12,92,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:26.95593,75,75,1796749.0,259364.0,18639.0,57116.0,127366.0,75369.0,36428.0,20159.0,97,51
93,12,93,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:27.96593,75,75,50404.0,34505.0,1823.0,34736.0,98062.0,103361.0,9497.0,11331.0,97,25
94,12,94,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:28.97594,75,75,1073332.0,34072.0,17499.0,89300.0,57885.0,82381.0,56868.0,45314.0,97,51
95,12,95,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:29.98594,75,75,2212081.0,105684.0,51413.0,29411.0,37109.0,41610.0,10185.0,3482.0,97,25
96,12,96,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:30.99594,75,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,25
97,12,97,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:31.100593,75,75,1604395.0,856705.0,129860.0,46818.0,64068.0,39925.0,31184.0,20080.0,97,51
98,12,98,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:32.101593,75,75,1008086.0,310190.0,159766.0,111960.0,74853.0,173894.0,134256.0,57902.0,97,25
99,12,99,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:33.102593,75,75,1137499.0,289968.0,54070.0,134793.0,175897.0,72596.0,36333.0,18426.0,97,51
100,12,100,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:34.103593,75,75,633660.0,209168.0,46165.0,42408.0,14951.0,31087.0,69833.0,68952.0,97,51
